NU_INSCRICAO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
1,90E+11;3548708;São Bernardo do Campo;35;SP;19;M;1;3;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;35904958;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;4022;4248;5096;3932;1;1;80;160;120;100;100;560;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;32;F;1;2;1;2103000;Caxias;21;MA;1;12;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;A
1,90E+11;3557006;Votorantim;35;SP;19;M;1;4;1;2927408;Salvador;29;BA;2;0;2;;0;;;;;;;;;1;1;1;1;4082;3944;4922;4903;0;1;120;120;120;120;0;480;B
1,90E+11;3504107;Atibaia;35;SP;19;F;1;1;1;3504107;Atibaia;35;SP;1;2;1;;0;;;;;;;;;1;1;1;1;4231;5586;5911;6141;0;1;160;180;160;160;140;800;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;20;F;1;3;1;2800308;Aracaju;28;SE;1;3;1;1;0;;;;;;;;;1;1;1;1;5699;603;6085;6759;1;1;160;200;180;180;200;920;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;19;M;1;1;1;3547809;Santo André;35;SP;1;1;1;;0;;;;;;;;;1;1;1;1;6159;663;6295;8364;0;1;160;160;160;200;140;820;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;20;F;1;1;1;3548708;São Bernardo do Campo;35;SP;1;2;1;1;0;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;18;M;1;1;1;3106200;Belo Horizonte;31;MG;2;0;3;1;0;35583224;3548708;São Bernardo do Campo;35;SP;4;1;1;1;1;1;1;5721;6036;5655;695;0;1;120;140;140;120;120;640;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;41;F;2;1;1;2107803;Parnarama;21;MA;1;13;1;;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;B
1,90E+11;3504107;Atibaia;35;SP;19;F;1;1;1;3504107;Atibaia;35;SP;1;2;1;1;0;;;;;;;;;1;1;1;1;5814;519;5666;4673;0;1;120;120;120;120;180;660;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;3;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;35009167;3548708;São Bernardo do Campo;35;SP;2;1;1;0;1;1;0;;4218;5469;;0;1;120;120;120;120;80;560;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;33;F;2;3;1;2925105;Poções;29;BA;1;13;1;1;0;;;;;;;;;1;1;1;1;4841;4728;4712;4609;0;1;120;120;120;120;120;600;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;1;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;35009106;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;4892;4963;5147;5098;0;1;160;120;120;140;120;660;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;27;F;2;1;1;3513801;Diadema;35;SP;1;9;1;1;0;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;24;M;1;3;1;3507605;Bragança Paulista;35;SP;1;7;1;;0;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;3;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;;;;;;;;;1;1;1;1;4664;4644;4867;6221;1;1;120;120;100;120;40;500;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;27;M;1;1;1;3513801;Diadema;35;SP;1;13;1;1;0;;;;;;;;;1;1;1;1;5541;610;5779;6564;0;1;120;140;120;120;80;580;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;1;1;3548708;São Bernardo do Campo;35;SP;2;0;2;2;0;35009003;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;4064;3777;3924;3915;0;1;120;40;40;120;0;320;A
1,90E+11;3548708;São Bernardo do Campo;35;SP;18;F;1;2;1;3548708;São Bernardo do Campo;35;SP;1;1;1;1;0;;;;;;;;;0;1;1;0;;5695;5624;;0;1;140;120;120;140;120;640;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;31;F;1;1;1;3548708;São Bernardo do Campo;35;SP;1;13;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;A
1,90E+11;3548708;São Bernardo do Campo;35;SP;23;M;0;1;1;3548708;São Bernardo do Campo;35;SP;1;2;1;;0;;;;;;;;;1;1;1;1;3736;4898;5303;5357;0;1;100;120;100;80;60;460;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;18;F;1;1;1;3548708;São Bernardo do Campo;35;SP;1;1;1;;0;;;;;;;;;1;1;1;1;5374;6269;6228;6117;1;1;160;160;160;180;200;860;B
1,90E+11;3504107;Atibaia;35;SP;18;M;1;1;1;3504107;Atibaia;35;SP;3;0;1;;1;;;;;;;;;1;1;1;1;502;530;5328;6377;1;1;120;180;160;160;200;820;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;22;F;1;3;2;;;;;1;5;1;1;0;;;;;;;;;1;1;1;1;4708;5392;5458;4325;0;1;140;180;140;160;160;780;B
1,90E+11;3557006;Votorantim;35;SP;20;F;1;1;1;3557006;Votorantim;35;SP;1;2;1;1;0;;;;;;;;;1;1;1;1;4516;4774;5259;5002;1;1;100;120;120;120;80;540;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;M;1;3;1;2604106;Caruaru;26;PE;2;0;2;1;0;35009246;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;5317;5739;5673;688;1;1;160;100;140;160;160;720;A
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;1;1;3548708;São Bernardo do Campo;35;SP;2;0;3;1;0;35141811;3548708;São Bernardo do Campo;35;SP;4;1;1;1;1;1;1;5867;5592;5696;6757;1;1;120;120;120;180;140;680;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;24;F;0;3;1;3548708;São Bernardo do Campo;35;SP;1;1;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;A
